,symboling,normalized-losses,make,fuel-type,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price
58,3,0.89,mazda,gas,std,two,hatchback,rwd,front,-0.58,-0.41,-0.1,-1.69,-0.11,rotor,two,-1.13,mpfi,0.0,0.01,-0.19,0.78,1.84,-1.41,-1.13,0.31
59,1,0.22,mazda,gas,std,two,hatchback,fwd,front,0.01,0.3,0.28,-0.01,-0.33,ohc,four,-0.12,2bbl,0.22,0.43,-0.39,-0.51,-0.68,0.12,0.18,-0.56
60,0,-0.22,mazda,gas,std,four,sedan,fwd,front,0.01,0.3,0.28,0.73,-0.28,ohc,four,-0.12,2bbl,0.22,0.43,-0.39,-0.51,-0.68,0.12,0.18,-0.6
61,1,0.22,mazda,gas,std,two,hatchback,fwd,front,0.01,0.3,0.28,-0.01,-0.33,ohc,four,-0.12,2bbl,0.22,0.43,-0.39,-0.51,-0.68,0.12,0.18,-0.33
62,0,-0.22,mazda,gas,std,four,sedan,fwd,front,0.01,0.3,0.28,0.73,-0.28,ohc,four,-0.12,2bbl,0.22,0.43,-0.39,-0.51,-0.68,0.12,0.18,-0.38
63,0,0.0,mazda,diesel,std,four,sedan,fwd,front,0.01,0.3,0.28,0.73,-0.22,ohc,four,-0.12,idi,0.22,0.43,3.17,-1.02,-1.0,1.65,1.64,-0.31
64,0,-0.22,mazda,gas,std,four,hatchback,fwd,front,0.01,0.3,0.28,0.73,-0.25,ohc,four,-0.12,2bbl,0.22,0.43,-0.39,-0.51,-0.68,0.12,0.18,-0.25
65,0,-0.13,mazda,gas,std,four,sedan,rwd,front,1.02,0.08,0.09,0.28,0.22,ohc,four,0.32,mpfi,1.59,-0.31,-0.54,0.4,-0.26,-0.95,-0.55,0.65
66,0,0.0,mazda,diesel,std,four,sedan,rwd,front,1.02,0.08,0.09,0.28,0.28,ohc,four,0.17,idi,0.37,1.23,2.99,-0.82,-1.94,0.89,1.2,0.65
67,-1,-0.92,mercedes-benz,diesel,turbo,four,sedan,rwd,front,1.87,1.37,2.05,1.14,1.85,ohc,five,1.35,idi,0.93,1.23,2.87,0.48,-1.63,-0.49,-0.84,1.57
68,-1,-0.92,mercedes-benz,diesel,turbo,four,wagon,rwd,front,1.87,1.37,2.05,2.04,2.3,ohc,five,1.35,idi,0.93,1.23,2.87,0.48,-1.63,-0.49,-0.84,1.92
69,0,-0.92,mercedes-benz,diesel,turbo,two,hardtop,rwd,front,1.32,1.09,2.05,0.48,1.81,ohc,five,1.35,idi,0.93,1.23,2.87,0.48,-1.63,-0.49,-0.84,1.91
70,-1,-0.92,mercedes-benz,diesel,turbo,four,sedan,rwd,front,2.8,2.32,2.71,1.06,2.34,ohc,five,1.35,idi,0.93,1.23,2.87,0.48,-1.63,-0.49,-0.84,2.34
71,-1,0.0,mercedes-benz,gas,std,four,sedan,rwd,front,2.8,2.32,2.71,1.14,2.28,ohcv,eight,2.58,mpfi,0.48,-0.5,-0.47,1.29,-0.79,-1.41,-1.86,2.67
72,3,0.63,mercedes-benz,gas,std,two,convertible,rwd,front,-0.36,0.51,2.15,-1.2,2.17,ohcv,eight,2.58,mpfi,0.48,-0.5,-0.47,1.29,-0.79,-1.41,-1.86,2.78
73,0,0.0,mercedes-benz,gas,std,four,sedan,rwd,front,3.69,2.77,2.71,1.22,2.59,ohcv,eight,4.36,mpfi,1.74,0.3,-0.54,2.02,-1.31,-1.72,-2.15,3.54
74,1,0.0,mercedes-benz,gas,std,two,hardtop,rwd,front,2.2,2.04,2.85,0.69,2.23,ohcv,eight,4.26,mpfi,1.74,0.3,-0.54,2.02,-1.31,-1.72,-2.15,4.1
75,1,0.0,mercury,gas,turbo,two,hatchback,rwd,front,0.66,0.35,0.98,0.44,0.68,ohc,four,0.32,mpfi,1.67,-0.43,-0.54,1.79,-0.26,-0.95,-0.98,0.42
76,2,1.23,mitsubishi,gas,std,two,hatchback,fwd,front,-0.84,-1.36,-0.7,-1.2,-1.23,ohc,four,-0.84,2bbl,-1.33,-0.08,-0.19,-0.92,0.79,1.81,1.49,-1.0
77,2,1.23,mitsubishi,gas,std,two,hatchback,fwd,front,-0.84,-1.36,-0.7,-1.2,-1.18,ohc,four,-0.84,2bbl,-1.33,-0.08,-0.19,-0.92,0.79,0.89,1.06,-0.89
78,2,1.23,mitsubishi,gas,std,two,hatchback,fwd,front,-0.84,-1.36,-0.7,-1.2,-1.06,ohc,four,-0.84,2bbl,-1.33,-0.08,-0.19,-0.92,0.79,0.89,1.06,-0.83
79,1,1.23,mitsubishi,gas,turbo,two,hatchback,fwd,front,-0.96,-1.36,-0.98,-1.2,-0.79,ohc,four,-0.7,spdi,-1.11,0.43,-0.64,-0.06,0.79,-0.19,-0.11,-0.7
80,3,0.98,mitsubishi,gas,turbo,two,hatchback,fwd,front,-0.41,-0.09,-0.24,-1.77,-0.36,ohc,four,-0.41,spdi,-0.59,0.65,-0.67,0.3,0.79,-0.34,-0.11,-0.41
81,3,0.98,mitsubishi,gas,std,two,hatchback,fwd,front,-0.41,-0.09,-0.24,-1.77,-0.44,ohc,four,-0.12,2bbl,0.07,0.65,-0.41,-0.41,-0.26,-0.03,0.18,-0.6
82,3,0.0,mitsubishi,gas,turbo,two,hatchback,fwd,front,-0.48,-0.07,0.18,-1.45,0.53,ohc,four,0.7,spdi,0.93,1.93,-0.79,1.03,-0.26,-0.95,-0.98,-0.07
83,3,0.0,mitsubishi,gas,turbo,two,hatchback,fwd,front,-0.48,-0.07,0.18,-1.45,0.7,ohc,four,0.7,spdi,0.96,1.93,-0.79,1.03,-0.26,-0.95,-0.98,0.21
84,3,0.0,mitsubishi,gas,turbo,two,hatchback,fwd,front,-0.48,-0.07,0.18,-1.45,0.71,ohc,four,0.7,spdi,0.96,1.93,-0.79,1.03,-0.26,-0.95,-0.98,0.16
85,1,0.09,mitsubishi,gas,std,four,sedan,fwd,front,-0.41,-0.13,-0.24,-0.87,-0.37,ohc,four,-0.12,2bbl,0.07,0.65,-0.41,-0.41,-0.26,-0.03,0.18,-0.79
86,1,0.09,mitsubishi,gas,std,four,sedan,fwd,front,-0.41,-0.13,-0.24,-0.87,-0.29,ohc,four,-0.12,2bbl,0.07,0.65,-0.41,-0.41,-0.26,-0.03,0.18,-0.64
87,1,0.09,mitsubishi,gas,turbo,four,sedan,fwd,front,-0.41,-0.13,-0.24,-0.87,-0.29,ohc,four,-0.41,spdi,-0.59,0.65,-0.67,0.3,0.79,-0.34,-0.11,-0.5
88,-1,0.47,mitsubishi,gas,std,four,sedan,fwd,front,-0.41,-0.13,-0.24,-0.87,-0.29,ohc,four,-0.41,spdi,-0.59,0.65,-0.67,0.3,0.79,-0.34,-0.11,-0.5
89,1,0.19,nissan,gas,std,two,sedan,fwd,front,-0.71,-0.71,-0.98,0.32,-1.28,ohc,four,-0.72,2bbl,-0.67,0.11,-0.19,-0.89,0.16,0.89,0.91,-0.98
90,1,0.19,nissan,diesel,std,two,sedan,fwd,front,-0.71,-0.71,-0.98,0.32,-1.04,ohc,four,-0.58,idi,-1.26,0.69,2.97,-1.25,-0.68,3.03,2.8,-0.78
91,1,0.19,nissan,gas,std,two,sedan,fwd,front,-0.71,-0.71,-0.98,0.32,-1.23,ohc,four,-0.72,2bbl,-0.67,0.11,-0.19,-0.89,0.16,0.89,0.91,-0.84
92,1,0.0,nissan,gas,std,four,sedan,fwd,front,-0.71,-0.71,-0.98,0.32,-1.19,ohc,four,-0.72,2bbl,-0.67,0.11,-0.19,-0.89,0.16,0.89,0.91,-0.81
93,1,-0.6,nissan,gas,std,four,wagon,fwd,front,-0.71,-0.31,-0.98,-0.09,-1.02,ohc,four,-0.72,2bbl,-0.67,0.11,-0.19,-0.89,0.16,0.89,0.91,-0.75
94,1,0.19,nissan,gas,std,two,sedan,fwd,front,-0.71,-0.71,-0.98,0.32,-1.16,ohc,four,-0.72,2bbl,-0.67,0.11,-0.19,-0.89,0.16,0.89,0.91,-0.75
95,1,0.19,nissan,gas,std,two,hatchback,fwd,front,-0.71,-0.69,-0.98,-0.17,-1.02,ohc,four,-0.72,2bbl,-0.67,0.11,-0.19,-0.89,0.16,0.89,0.91,-0.69
96,1,0.0,nissan,gas,std,four,sedan,fwd,front,-0.71,-0.71,-0.98,0.32,-1.13,ohc,four,-0.72,2bbl,-0.67,0.11,-0.19,-0.89,0.16,0.89,0.91,-0.73
97,1,-0.6,nissan,gas,std,four,wagon,fwd,front,-0.71,-0.31,-0.98,-0.09,-1.0,ohc,four,-0.72,2bbl,-0.67,0.11,-0.19,-0.89,0.16,0.89,0.91,-0.66
98,2,1.46,nissan,gas,std,two,hardtop,fwd,front,-0.61,-0.95,-0.98,-0.17,-1.05,ohc,four,-0.72,2bbl,-0.67,0.11,-0.19,-0.89,0.16,0.89,0.91,-0.63
99,0,-0.51,nissan,gas,std,four,hatchback,fwd,front,-0.26,-0.05,-0.33,0.4,-0.45,ohc,four,-0.17,2bbl,0.0,0.69,-0.41,-0.18,0.16,0.27,0.47,-0.54
100,0,-0.51,nissan,gas,std,four,sedan,fwd,front,-0.26,-0.05,-0.33,0.4,-0.49,ohc,four,-0.17,2bbl,0.0,0.69,-0.41,-0.18,0.16,0.27,0.47,-0.47
101,0,0.19,nissan,gas,std,four,sedan,fwd,front,0.27,0.62,0.28,0.56,1.04,ohcv,six,1.3,mpfi,0.37,0.05,-0.29,1.21,0.16,-1.26,-1.27,0.04
102,0,-0.44,nissan,gas,std,four,wagon,fwd,front,0.27,0.86,0.28,0.97,1.43,ohcv,six,1.3,mpfi,0.37,0.05,-0.29,1.21,0.16,-1.26,-1.27,0.15
103,0,-0.44,nissan,gas,std,four,sedan,fwd,front,0.27,0.86,0.28,0.56,0.97,ohcv,six,1.3,mpfi,0.37,0.05,-0.29,1.21,0.16,-0.95,-0.84,0.04
104,3,2.28,nissan,gas,std,two,hatchback,rwd,front,-1.24,-0.27,0.93,-1.65,0.99,ohcv,six,1.3,mpfi,0.37,0.05,-0.29,1.41,0.16,-0.95,-0.84,0.51
105,3,2.28,nissan,gas,turbo,two,hatchback,rwd,front,-1.24,-0.27,0.93,-1.65,1.12,ohcv,six,1.3,mpfi,0.37,0.05,-0.59,2.43,0.16,-1.26,-1.13,0.83
106,1,3.45,nissan,gas,std,two,hatchback,rwd,front,0.07,0.36,0.93,-1.65,1.12,ohcv,six,1.3,mpfi,0.37,0.05,-0.29,1.41,0.16,-0.95,-0.84,0.66
107,0,1.23,peugot,gas,std,four,sedan,rwd,front,1.52,1.03,1.16,1.22,0.89,l,four,-0.17,mpfi,0.48,-0.21,-0.44,-0.18,-0.26,-0.95,-0.98,-0.17
108,0,1.23,peugot,diesel,turbo,four,sedan,rwd,front,1.52,1.03,1.16,1.22,1.23,l,four,0.6,idi,1.37,0.85,2.74,-0.23,-2.05,0.43,0.33,-0.0
109,0,0.0,peugot,gas,std,four,wagon,rwd,front,2.57,2.02,1.16,2.04,1.3,l,four,-0.17,mpfi,0.48,-0.21,-0.44,-0.18,-0.26,-0.95,-0.98,-0.1
110,0,0.0,peugot,diesel,turbo,four,wagon,rwd,front,2.57,2.02,1.16,2.04,1.68,l,four,0.6,idi,1.37,0.85,2.74,-0.23,-2.05,-0.03,-0.84,0.08
111,0,1.23,peugot,gas,std,four,sedan,rwd,front,1.52,1.03,1.16,1.22,1.0,l,four,-0.17,mpfi,0.48,-3.41,-0.44,-0.23,-0.26,-0.95,-0.98,0.3
112,0,1.23,peugot,diesel,turbo,four,sedan,rwd,front,1.52,1.03,1.16,1.22,1.34,l,four,0.6,idi,1.37,0.85,2.74,-0.23,-2.05,0.43,0.33,0.47
113,0,0.0,peugot,gas,std,four,wagon,rwd,front,2.57,2.02,1.16,1.22,1.4,l,four,-0.17,mpfi,0.48,-3.41,-0.44,-0.23,-0.26,-0.95,-0.98,0.44
114,0,0.0,peugot,diesel,turbo,four,wagon,rwd,front,2.57,2.02,1.16,2.04,1.79,l,four,0.6,idi,1.37,0.85,2.74,-0.23,-2.05,-0.03,-0.84,0.49
115,0,1.23,peugot,gas,std,four,sedan,rwd,front,1.52,1.03,1.16,1.22,1.0,l,four,-0.17,mpfi,0.48,-0.21,-0.44,-0.18,-0.26,-0.95,-0.98,0.44
116,0,1.23,peugot,diesel,turbo,four,sedan,rwd,front,1.52,1.03,1.16,1.22,1.34,l,four,0.6,idi,1.37,0.85,2.74,-0.23,-2.05,0.43,0.33,0.6
117,0,1.23,peugot,gas,turbo,four,sedan,rwd,front,1.54,1.03,1.12,0.93,1.11,l,four,0.17,mpfi,1.04,-0.15,-0.79,0.96,1.0,-1.11,-0.98,0.63
118,1,-0.09,plymouth,gas,std,two,hatchback,fwd,front,-0.84,-1.36,-0.98,-1.2,-1.23,ohc,four,-0.89,2bbl,-1.33,-0.08,-0.19,-0.92,0.79,1.81,1.49,-0.97
119,1,-0.09,plymouth,gas,turbo,two,hatchback,fwd,front,-0.84,-1.36,-0.98,-1.2,-0.82,ohc,four,-0.7,spdi,-1.11,0.43,-0.64,-0.06,0.79,-0.19,-0.11,-0.67
120,1,1.01,plymouth,gas,std,four,hatchback,fwd,front,-0.84,-1.36,-0.98,-1.28,-1.13,ohc,four,-0.89,2bbl,-1.33,-0.08,-0.19,-0.92,0.79,0.89,1.06,-0.89
121,1,1.01,plymouth,gas,std,four,sedan,fwd,front,-0.84,-0.55,-0.98,-1.2,-1.09,ohc,four,-0.89,2bbl,-1.33,-0.08,-0.19,-0.92,0.79,0.89,1.06,-0.83
122,1,1.01,plymouth,gas,std,four,sedan,fwd,front,-0.84,-0.55,-0.98,-1.2,-0.7,ohc,four,-0.7,2bbl,-1.33,-0.08,-0.19,-0.92,0.79,0.89,1.06,-0.71
123,-1,-1.52,plymouth,gas,std,four,wagon,fwd,front,0.76,0.04,-0.61,2.49,-0.04,ohc,four,-0.12,2bbl,0.07,0.65,-0.41,-0.41,-0.26,-0.19,-0.11,-0.55
124,3,0.0,plymouth,gas,turbo,two,hatchback,rwd,front,-0.48,-0.07,0.18,-1.45,0.51,ohc,four,0.7,spdi,0.96,1.93,-0.79,1.03,-0.26,-0.95,-0.98,-0.06
125,3,2.03,porsche,gas,std,two,hatchback,rwd,front,-0.71,-0.42,1.12,-1.45,0.43,ohc,four,0.58,mpfi,2.26,-0.47,-0.16,0.98,0.79,-0.95,-0.55,1.12
126,3,0.0,porsche,gas,std,two,hardtop,rwd,rear,-1.54,-0.42,-0.42,-0.87,0.39,ohcf,six,1.62,mpfi,1.52,-1.14,-0.16,2.61,1.63,-1.26,-0.84,2.46
127,3,0.0,porsche,gas,std,two,hardtop,rwd,rear,-1.54,-0.42,-0.42,-0.87,0.39,ohcf,six,1.62,mpfi,1.52,-1.14,-0.16,2.61,1.63,-1.26,-0.84,2.65
128,3,0.0,porsche,gas,std,two,convertible,rwd,rear,-1.54,-0.42,-0.42,-0.87,0.47,ohcf,six,1.62,mpfi,1.52,-1.14,-0.16,2.61,1.63,-1.26,-0.84,3.03
129,1,0.0,porsche,gas,std,two,hatchback,rwd,front,-0.06,0.13,2.99,-1.32,1.56,dohcv,eight,1.83,mpfi,2.26,-0.47,-0.04,4.66,1.31,-1.26,-0.4,0.0
